Tabla,Columna,Diferencias,Total,% Match,Estado
InvArticuloFcia (APS),articulocobeca,0,2,100.0,OK
InvArticuloFcia (APS),atributo,0,2,100.0,OK
InvArticuloFcia (APS),capacidad,0,2,100.0,OK
InvArticuloFcia (APS),codbarra,0,2,100.0,OK
InvArticuloFcia (APS),codcategoria,0,2,100.0,OK
InvArticuloFcia (APS),codigoarticulo,0,2,100.0,OK
InvArticuloFcia (APS),codigoarticuloint,0,2,100.0,OK
InvArticuloFcia (APS),consignacion,0,2,100.0,OK
InvArticuloFcia (APS),cpe,0,2,100.0,OK
InvArticuloFcia (APS),descripcioncortafcia,0,2,100.0,OK
InvArticuloFcia (APS),empresaid,0,2,100.0,OK
InvArticuloFcia (APS),existenciac,2,2,0.0,DIFERENCIA
InvArticuloFcia (APS),existenciap,2,2,0.0,DIFERENCIA
InvArticuloFcia (APS),invarticuloid,0,2,100.0,OK
InvArticuloFcia (APS),marca,0,2,100.0,OK
InvArticuloFcia (APS),permisosanitario,0,2,100.0,OK
InvArticuloFcia (APS),presentacion,0,2,100.0,OK
InvArticuloFcia (APS),principiosactivos,0,2,100.0,OK
InvArticuloFcia (APS),rotacion,0,2,100.0,OK
