Tabla,Columna,Diferencias,Total,% Match,Estado
InvArticulos (APS),capacidad,0,498,100.0,OK
InvArticulos (APS),categoria,0,498,100.0,OK
InvArticulos (APS),claseterapeutica,0,498,100.0,OK
InvArticulos (APS),codbarraprincipal,0,498,100.0,OK
InvArticulos (APS),codigoarticulo,0,498,100.0,OK
InvArticulos (APS),codigoclaseterapeutica,0,498,100.0,OK
InvArticulos (APS),codigocomponente,0,498,100.0,OK
InvArticulos (APS),codigocontrolsanitario,0,498,100.0,OK
InvArticulos (APS),codigoproveedor,0,498,100.0,OK
InvArticulos (APS),codigoproveedorinterno,0,498,100.0,OK
InvArticulos (APS),codigotratamiento,0,498,100.0,OK
InvArticulos (APS),componente,0,498,100.0,OK
InvArticulos (APS),concentracion,0,498,100.0,OK
InvArticulos (APS),consignacion,0,498,100.0,OK
InvArticulos (APS),consignacionmm,0,498,100.0,OK
InvArticulos (APS),controlsanitario,0,498,100.0,OK
InvArticulos (APS),cpe,0,498,100.0,OK
InvArticulos (APS),denominaciongrupocompra,0,498,100.0,OK
InvArticulos (APS),departamento,0,498,100.0,OK
InvArticulos (APS),descripcion,0,498,100.0,OK
InvArticulos (APS),descripcionlarga,0,498,100.0,OK
InvArticulos (APS),existenciaconsignacion,0,498,100.0,OK
InvArticulos (APS),existenciapropia,0,498,100.0,OK
InvArticulos (APS),generico,0,498,100.0,OK
InvArticulos (APS),grupocompra,0,498,100.0,OK
InvArticulos (APS),grupomaterial,0,498,100.0,OK
InvArticulos (APS),indexacion,0,498,100.0,OK
InvArticulos (APS),invcategoriaid,0,498,100.0,OK
InvArticulos (APS),marca,0,498,100.0,OK
InvArticulos (APS),marcaid,0,498,100.0,OK
InvArticulos (APS),multiplocompra,0,498,100.0,OK
InvArticulos (APS),nevera,0,498,100.0,OK
InvArticulos (APS),nombreproveedor,0,498,100.0,OK
InvArticulos (APS),origen,0,498,100.0,OK
InvArticulos (APS),paciente,0,498,100.0,OK
InvArticulos (APS),permisosanitario,0,498,100.0,OK
InvArticulos (APS),presentacion,0,498,100.0,OK
InvArticulos (APS),rotacion,0,498,100.0,OK
InvArticulos (APS),subcategoria,0,498,100.0,OK
InvArticulos (APS),subcategoria2,0,498,100.0,OK
InvArticulos (APS),tipomaterial,0,498,100.0,OK
InvArticulos (APS),tratamiento,0,498,100.0,OK
InvArticulos (APS),unidadesbulto,0,498,100.0,OK
InvArticulos (APS),unidadfraccionfarmacia,498,498,0.0,DIFERENCIA
InvArticulos (APS),vendedor,0,498,100.0,OK
